Cluster_1,"(1.816758088377117, 1.0805640501770797)"
Cluster_1,"(1.4218994325317902, 1.241376157624391)"
Cluster_1,"(1.1934721296757846, 1.0964970522602424)"
Cluster_1,"(1.8183456939581792, 1.281262574493562)"
Cluster_1,"(1.944271876704365, 1.6868735063871125)"
Cluster_1,"(1.1522778428668978, 1.0219960326140063)"
Cluster_3,"(1.7656191418861007, 1.8935631387095158)"
Cluster_3,"(1.2900842935042764, 1.8800622394886073)"
Cluster_3,"(1.0732872565343987, 1.9186856197680244)"
Cluster_3,"(1.1439873391980082, 1.789787229771427)"
